,name,ons_code,mp,signature_count,Population,PercSigned,party
626,Oldham West and Royton,E14000871,Jim McMahon MP,2171,107334,0.020226582,
627,Bradford West,E14000589,Naz Shah MP,2385,117969,0.020217176,
628,Wentworth and Dearne,E14001028,Rt Hon John Healey MP,1985,98554,0.020141242,
629,Bolton South East,E14000579,Yasmin Qureshi MP,2122,105872,0.020043071,
630,Stoke-on-Trent South,E14000974,Jack Brereton MP,1781,90359,0.019710267,
631,Bradford East,E14000587,Imran Hussain MP,2324,118123,0.019674407,
632,Bradford South,E14000588,Judith Cummins MP,2065,105363,0.01959891,
633,Blackburn,E14000570,Kate Hollern MP,2135,109163,0.019557909,
634,Easington,E14000677,Grahame Morris MP,1614,82631,0.019532621,
635,Doncaster North,E14000669,Rt Hon Edward Miliband MP,1897,98701,0.019219663,
636,"Birmingham, Perry Barr",E14000566,Mr Khalid Mahmood MP,2158,112420,0.019195873,
637,Great Grimsby,E14000716,Melanie Onn MP,1659,88500,0.018745763,
638,Stoke-on-Trent North,E14000973,Ruth Smeeth MP,1832,99306,0.018448029,
639,Barnsley East,E14000542,Stephanie Peacock MP,1744,94604,0.018434738,
640,Kingston upon Hull East,E14000771,Karl Turner MP,1672,90986,0.018376454,Labour
641,Rotherham,E14000904,Sarah Champion MP,1680,91706,0.018319412,Labour
642,Dudley North,E14000671,Ian Austin MP,1526,84817,0.017991676,Independent
643,Boston and Skegness,E14000582,Matt Warman MP,1910,106272,0.017972749,Conservative
644,Wolverhampton North East,E14001049,Emma Reynolds MP,1619,90944,0.017802164,Labour
645,West Bromwich East,E14001029,Tom Watson MP,1579,93365,0.016912119,Labour
646,Wolverhampton South East,E14001050,Rt Hon Pat McFadden MP,1440,93652,0.015376073,Labour
647,West Bromwich West,E14001030,Mr Adrian Bailey MP,1452,95418,0.015217255,Labour
648,Walsall North,E14001011,Eddie Hughes MP,1306,99247,0.013159088,Conservative
649,"Birmingham, Hodge Hill",E14000563,Rt Hon Liam Byrne MP,1620,129262,0.012532686,Labour
