,name,ons_code,mp,signature_count,Population,PercSigned,party
178,St Ives,E14000964,Derek Thomas MP,6207,87250,0.071140401,
179,Calder Valley,E14000614,Craig Whittaker MP,7423,104805,0.070826774,
180,Surrey Heath,E14000983,Rt Hon Michael Gove MP,7698,109004,0.070621262,Conservative
181,Sefton Central,E14000916,Bill Esterson MP,5879,83315,0.070563524,
182,Suffolk Coastal,E14000981,Dr Thérèse Coffey MP,7211,102482,0.070363576,
183,Shipley,E14000925,Philip Davies MP,6745,95974,0.070279451,
184,South Norfolk,E14000941,Mr Richard Bacon MP,7552,107778,0.070069959,
185,"Inverness, Nairn, Badenoch and Strathspey",S14000039,Drew Hendry MP,7356,105231,0.069903355,
186,"Liverpool, Wavertree",E14000795,Luciana Berger MP,6596,95210,0.069278437,
187,Thornbury and Yate,E14000994,Luke Hall MP,5977,86444,0.069143029,
188,Perth and North Perthshire,S14000054,Pete Wishart MP,6806,98501,0.069095745,
189,Manchester Central,E14000807,Lucy Powell MP,10943,158529,0.06902838,
190,"Birmingham, Selly Oak",E14000567,Steve McCabe MP,7507,108848,0.068967735,
191,Hazel Grove,E14000738,Mr William Wragg MP,5529,80374,0.068790903,
192,Dundee West,S14000016,Chris Law MP,6098,88743,0.068715279,
193,Hastings and Rye,E14000735,Rt Hon Amber Rudd MP,7672,111779,0.068635432,
194,Lancaster and Fleetwood,E14000776,Cat Smith MP,6178,90139,0.06853859,
195,Ochil and South Perthshire,S14000050,Luke Graham MP,7128,104049,0.068506185,
196,Skipton and Ripon,E14000928,Rt Hon Julian Smith MP,6839,99840,0.068499599,
197,Reading West,E14000890,Alok Sharma MP,7088,104157,0.068051115,
198,Paisley and Renfrewshire North,S14000052,Gavin Newlands MP,6224,91554,0.067981738,
199,Wirral South,E14001043,Alison McGovern MP,4949,72991,0.06780288,
200,Mitcham and Morden,E14000823,Siobhain McDonagh MP,7240,106832,0.067769957,
201,"East Kilbride, Strathaven and Lesmahagow",S14000019,Dr Lisa Cameron MP,6929,102527,0.067582198,
202,Bournemouth East,E14000584,Rt Hon Tobias Ellwood MP,7203,107483,0.067015249,
203,Worthing West,E14001055,Sir Peter Bottomley MP,6587,98911,0.066595222,
204,Taunton Deane,E14000988,Rebecca Pow MP,7791,117423,0.066349863,
205,Wycombe,E14001056,Mr Steve Baker MP,7356,111353,0.066060187,
206,Hertsmere,E14000745,Oliver Dowden MP,6856,104031,0.065903433,
207,"Southampton, Test",E14000956,Dr Alan Whitehead MP,7418,112751,0.065790991,
208,"Plymouth, Sutton and Devonport",E14000880,Luke Pollard MP,7531,114519,0.065762013,
209,South Northamptonshire,E14000942,Rt Hon Andrea Leadsom MP,7716,117338,0.065758748,
210,New Forest West,E14000828,Rt Hon Sir Desmond Swayne MP,5640,85877,0.065675326,
211,Brecon and Radnorshire,W07000068,Chris Davies MP,4538,69244,0.065536364,
212,"Dumfriesshire, Clydesdale and Tweeddale",S14000014,Rt Hon David Mundell MP,5624,86333,0.065143109,
213,North East Bedfordshire,E14000841,Rt Hon Alistair Burt MP,7486,114925,0.065138134,
214,Meon Valley,E14000811,George Hollingbery MP,6150,94535,0.065055271,
215,Paisley and Renfrewshire South,S14000053,Mhairi Black MP,5513,85276,0.064648905,
216,Chelmsford,E14000628,Vicky Ford MP,7176,111032,0.064630017,
217,Shrewsbury and Atcham,E14000926,Daniel Kawczynski MP,6868,106407,0.064544626,
218,Norwich North,E14000863,Chloe Smith MP,5744,89235,0.064369362,
219,Salford and Eccles,E14000911,Rebecca Long Bailey MP,7591,117990,0.064335961,
220,Bracknell,E14000586,Dr Phillip Lee MP,7131,111021,0.064231091,
221,Warrington South,E14001018,Faisal Rashid MP,7233,112687,0.064186641,
222,Tewkesbury,E14000990,Mr Laurence Robertson MP,6814,106198,0.064163167,
223,Milton Keynes North,E14000821,Rt Hon Mark Lancaster MP,8495,132573,0.064077904,
224,North West Hampshire,E14000857,Kit Malthouse MP,6861,107227,0.06398575,
225,Huntingdon,E14000757,Mr Jonathan Djanogly MP,7656,119679,0.063971123,
226,Orpington,E14000872,Joseph Johnson MP,5875,91917,0.063916359,
227,Brent Central,E14000591,Dawn Butler MP,9404,147291,0.063846399,
228,Gordon,S14000037,Colin Clark MP,6612,103569,0.063841497,
229,Newton Abbot,E14000835,Anne Marie Morris MP,5792,90795,0.063792059,
230,Mid Dorset and North Poole,E14000815,Michael Tomlinson MP,5226,82737,0.063164002,
231,Swansea West,W07000047,Geraint Davies MP,5273,83573,0.06309454,
232,Watford,E14001021,Richard Harrington MP,7700,122153,0.063035701,
233,City of Durham,E14000641,Dr Roberta Blackman-Woods MP,6322,100372,0.062985693,
234,Mid Bedfordshire,E14000813,Ms Nadine Dorries MP,6968,110736,0.062924433,
235,Portsmouth South,E14000884,Stephen Morgan MP,7202,114544,0.062875402,
236,Aberdeen North,S14000001,Kirsty Blackman MP,6434,102352,0.062861498,
237,"Manchester, Gorton",E14000808,Afzal Khan MP,7510,119476,0.062857812,
238,North Herefordshire,E14000847,Bill Wiggin MP,5627,89604,0.062798536,
239,Mid Derbyshire,E14000814,Mrs Pauline Latham MP,5326,84841,0.062776252,
240,Welwyn Hatfield,E14001027,Rt Hon Grant Shapps MP,7334,116869,0.062754024,
241,"Berwickshire, Roxburgh and Selkirk",S14000008,John Lamont MP,5927,94600,0.062653277,
242,Bexhill and Battle,E14000557,Huw Merriman MP,6577,104993,0.062642271,
243,Nottingham East,E14000865,Mr Chris Leslie MP,6875,109797,0.062615554,
244,North Dorset,E14000839,Simon Hoare MP,6161,98878,0.062309108,
245,Na h-Eileanan an Iar,S14000027,Angus Brendan MacNeil MP,1674,26950,0.062115028,
246,"Cumbernauld, Kilsyth and Kirkintilloch East",S14000012,Stuart C. McDonald MP,5451,87822,0.06206873,
247,Gower,W07000046,Tonia Antoniazzi MP,4907,79176,0.061975851,
248,Tiverton and Honiton,E14000996,Neil Parish MP,6308,101980,0.061855266,
249,Congleton,E14000646,Fiona Bruce MP,5860,94744,0.061850882,
250,Weaver Vale,E14001024,Mike Amesbury MP,5519,89411,0.061726186,
251,Leeds West,E14000781,Rachel Reeves MP,5800,94030,0.061682442,
252,South Suffolk,E14000946,James Cartlidge MP,5847,94900,0.061612223,
253,Hemel Hempstead,E14000739,Rt Hon Sir Mike Penning MP,6531,106080,0.061566742,
254,Carshalton and Wallington,E14000621,Rt Hon Tom Brake MP,6266,101780,0.061564158,
255,Livingston,S14000044,Hannah Bardell MP,6810,110899,0.061407226,
256,Harrow West,E14000732,Gareth Thomas MP,6664,108963,0.061158375,
257,Basingstoke,E14000545,Rt Hon Maria Miller MP,7031,115046,0.061114685,
258,South East Cornwall,E14000938,Mrs Sheryll Murray MP,5499,89989,0.061107469,
259,Worcester,E14001052,Mr Robin Walker MP,6252,102314,0.061106007,
260,"Ealing, Southall",E14000676,Mr Virendra Sharma MP,6060,99237,0.061065933,
261,Rutland and Melton,E14000909,Rt Hon Sir Alan Duncan MP,6348,104112,0.060972799,
262,Linlithgow and East Falkirk,S14000043,Martyn Day MP,7254,119100,0.060906801,
263,Devizes,E14000665,Rt Hon Claire Perry MP,6222,102273,0.060837171,
264,Dundee East,S14000015,Stewart Hosie MP,5456,90043,0.060593272,
265,Newcastle upon Tyne North,E14000833,Catherine McKinnell MP,5574,92042,0.06055931,
266,Spelthorne,E14000959,Kwasi Kwarteng MP,5996,99120,0.060492333,
267,Eastleigh,E14000685,Mims Davies MP,6581,108865,0.060451017,
268,Daventry,E14000660,Chris Heaton-Harris MP,5963,99130,0.060153334,
269,Croydon North,E14000655,Mr Steve Reed MP,8770,146065,0.060041762,
270,Torridge and West Devon,E14001000,Rt Hon Geoffrey Cox QC MP,6096,101604,0.059997638,
271,Central Suffolk and North Ipswich,E14000624,Dr Dan Poulter MP,6081,101581,0.059863557,
272,Rutherglen and Hamilton West,S14000056,Ged Killen MP,6289,105351,0.059695684,
273,Faversham and Mid Kent,E14000700,Helen Whately MP,5838,97954,0.059599404,
274,Eddisbury,E14000686,Antoinette Sandbach MP,5330,89467,0.059575039,
275,Milton Keynes South,E14000822,Iain Stewart MP,8035,134948,0.059541453,
276,Garston and Halewood,E14000708,Maria Eagle MP,5924,99510,0.059531705,
277,Poole,E14000881,Sir Robert Syms MP,5854,98567,0.059391074,
278,South West Devon,E14000950,Sir Gary Streeter MP,5299,89446,0.059242448,
279,Colchester,E14000644,Will Quince MP,7250,122387,0.059238318,
280,Aylesbury,E14000538,Rt Hon David Lidington MP,7203,121812,0.059132105,
281,Bury St Edmunds,E14000613,Jo Churchill MP,6960,117735,0.059115811,
282,Colne Valley,E14000645,Thelma Walker MP,6587,111717,0.058961483,
283,Foyle,N06000008,Elisha McCallion MP,6074,103075,0.058927965,
284,Wythenshawe and Sale East,E14001059,Mike Kane MP,6382,108336,0.058909319,
285,Maidstone and The Weald,E14000804,Mrs Helen Grant MP,6396,108642,0.058872259,
286,"Sheffield, Heeley",E14000923,Louise Haigh MP,5588,94955,0.058848928,
287,Croydon Central,E14000654,Sarah Jones MP,7125,121087,0.05884199,
288,Eastbourne,E14000684,Stephen Lloyd MP,6512,110809,0.05876779,
289,Harwich and North Essex,E14000734,Sir Bernard Jenkin MP,5595,95282,0.05872043,
290,Loughborough,E14000797,Rt Hon Nicky Morgan MP,6332,107916,0.058675266,
291,South West Wiltshire,E14000954,Dr Andrew Murrison MP,6039,103010,0.058625376,
292,South Swindon,E14000947,Robert Buckland MP,6332,108126,0.058561308,
293,Ealing North,E14000675,Stephen Pound MP,7087,121080,0.058531549,
294,Vale of Glamorgan,W07000078,Rt Hon Alun Cairns MP,5878,100945,0.058229729,
295,"Birmingham, Edgbaston",E14000560,Preet Kaur Gill MP,6104,105317,0.057958354,
296,Gedling,E14000710,Vernon Coaker MP,5491,94780,0.057934163,
297,Ludlow,E14000799,Rt Hon Philip Dunne MP,4995,86265,0.057902973,
298,Fareham,E14000699,Suella Braverman MP,5886,101851,0.057790302,
299,Falkirk,S14000028,John McNally MP,6427,111441,0.057671773,
300,Sutton Coldfield,E14000985,Rt Hon Andrew Mitchell MP,5473,94906,0.057667587,
301,Penrith and The Border,E14000877,Rory Stewart MP,4748,82409,0.057615066,
302,Bromsgrove,E14000605,Rt Hon Sajid Javid MP,5618,97594,0.057565014,
303,Harborough,E14000728,Neil O'Brien MP,6083,106126,0.057318659,
304,Bournemouth West,E14000585,Conor Burns MP,6013,105394,0.057052584,
305,Broadland,E14000603,Rt Hon Keith Simpson MP,5622,98565,0.057038503,
306,New Forest East,E14000827,Rt Hon Dr Julian Lewis MP,5344,93713,0.057025173,
307,Hendon,E14000741,Dr Matthew Offord MP,7911,138888,0.056959565,
308,Nottingham South,E14000867,Lilian Greenwood MP,6748,118722,0.056838665,
309,Aberconwy,W07000058,Guto Bebb MP,3350,58941,0.056836498,
310,Lanark and Hamilton East,S14000042,Angela Crawley MP,5548,97742,0.056761679,
311,West Ham,E14001032,Lyn Brown MP,10512,185200,0.056760259,
312,Southport,E14000958,Damien Moore MP,5211,92050,0.056610538,
313,South Thanet,E14000948,Craig Mackinlay MP,5758,101730,0.056600806,
314,Elmet and Rothwell,E14000689,Alec Shelbrooke MP,5654,100292,0.056375384,
315,Kingswood,E14000774,Chris Skidmore MP,5123,91234,0.056152312,
316,Epping Forest,E14000693,Rt Hon Dame Eleanor Laing MP,5600,100102,0.055942938,
317,Newark,E14000829,Robert Jenrick MP,5831,104522,0.055787298,
318,Dwyfor Meirionnydd,W07000061,Rt Hon Liz Saville Roberts MP,3425,61438,0.055747257,
319,Southend West,E14000957,Sir David Amess MP,5132,92501,0.055480481,
320,Camborne and Redruth,E14000616,George Eustice MP,5075,91485,0.055473575,
321,Inverclyde,S14000038,Ronnie Cowan MP,4354,78760,0.055281869,
322,North Devon,E14000838,Peter Heaton-Jones MP,5274,95440,0.055259849,
323,Keighley,E14000766,John Grogan MP,5351,97371,0.054954761,
324,"Birmingham, Hall Green",E14000562,Mr Roger Godsiff MP,6595,120130,0.05489886,
325,North Down,N06000013,Lady Hermon MP,4999,91330,0.054735574,
326,South Dorset,E14000936,Richard Drax MP,5115,93451,0.054734567,
327,Forest of Dean,E14000705,Rt Hon Mark Harper MP,4918,90237,0.054500925,
328,Solihull,E14000931,Julian Knight MP,5573,102258,0.054499403,
329,Belfast East,N06000001,Gavin Robinson MP,5174,95193,0.054352736,
330,Folkestone and Hythe,E14000704,Damian Collins MP,6346,116776,0.054343358,
331,Christchurch,E14000638,Sir Christopher Chope MP,4675,86089,0.054304267,
332,"Southampton, Itchen",E14000955,Royston Smith MP,5952,110014,0.054102205,
333,Brentwood and Ongar,E14000594,Alex Burghart MP,5214,96486,0.054038928,
334,Montgomeryshire,W07000063,Glyn Davies MP,3407,63271,0.053847734,
335,Bury South,E14000612,Mr Ivan Lewis MP,5359,99966,0.053608227,
336,Thirsk and Malton,E14000993,Kevin Hollinrake MP,5401,100911,0.053522411,
337,Ashford,E14000536,Rt Hon Damian Green MP,6536,122178,0.053495719,
338,North Cornwall,E14000837,Scott Mann MP,4943,92772,0.053281162,
339,Isle of Wight,E14000762,Mr Bob Seely MP,7496,140984,0.053169154,
340,Wallasey,E14001010,Ms Angela Eagle MP,4775,90343,0.052854123,
341,Hereford and South Herefordshire,E14000743,Jesse Norman MP,5345,101437,0.052692804,
342,Rugby,E14000905,Mark Pawsey MP,5413,102733,0.052689983,
343,Clwyd West,W07000059,Rt Hon David Jones MP,3845,73371,0.052404901,
344,Derby North,E14000662,Chris Williamson MP,5378,102733,0.052349294,
345,Kirkcaldy and Cowdenbeath,S14000041,Lesley Laird MP,5176,98883,0.05234469,
346,Berwick-upon-Tweed,E14000554,Anne-Marie Trevelyan MP,3942,75542,0.052182892,
347,West Dunbartonshire,S14000059,Martin Docherty-Hughes MP,4656,89610,0.051958487,
348,South West Bedfordshire,E14000949,Andrew Selous MP,5785,111581,0.051845744,
349,Newport West,W07000056,,4572,88258,0.051802669,
350,Newcastle upon Tyne Central,E14000831,Chi Onwurah MP,5274,102253,0.051577949,
351,Bedford,E14000552,Mohammad Yasin MP,5483,106341,0.051560546,
352,Pontypridd,W07000075,Owen Smith MP,4231,82153,0.051501467,
353,Uxbridge and South Ruislip,E14001007,Rt Hon Boris Johnson MP,5672,110148,0.051494353,Conservative
354,North Ayrshire and Arran,S14000048,Patricia Gibson MP,4840,94059,0.051457064,
355,Carmarthen East and Dinefwr,W07000067,Jonathan Edwards MP,3693,71891,0.051369434,
356,"Coatbridge, Chryston and Bellshill",S14000011,Hugh Gaffney MP,4852,94646,0.051264713,
357,Stevenage,E14000968,Stephen McPartland MP,5018,98200,0.051099796,
358,Aldershot,E14000530,Leo Docherty MP,5424,106193,0.051076813,
359,South Down,N06000015,Chris Hazzard MP,5728,112809,0.050776091,
360,Glasgow North East,S14000032,Mr Paul Sweeney MP,4368,86067,0.050751159,
361,North West Cambridgeshire,E14000855,Mr Shailesh Vara MP,6752,133227,0.050680418,
362,Selby and Ainsty,E14000917,Nigel Adams MP,5131,101373,0.050615055,
363,Preseli Pembrokeshire,W07000065,Rt Hon Stephen Crabb MP,3986,78902,0.050518365,
364,North Norfolk,E14000848,Rt Hon Norman Lamb MP,4393,86991,0.050499477,
365,Bootle,E14000581,Peter Dowd MP,5010,99224,0.050491816,
366,"Caithness, Sutherland and Easter Ross",S14000009,Jamie Stone MP,3053,60696,0.050299855,
367,Ipswich,E14000761,Sandy Martin MP,5741,114348,0.050206388,
368,Central Ayrshire,S14000010,Dr Philippa Whitford MP,4380,87378,0.050127034,
369,Lichfield,E14000791,Michael Fabricant MP,4790,95785,0.05000783,
370,Ynys Môn,W07000041,Albert Owen MP,3468,69794,0.049689085,
371,Lincoln,E14000792,Karen Lee MP,5561,111942,0.049677512,
372,Wyre and Preston North,E14001057,Rt Hon Ben Wallace MP,4444,89672,0.049558391,
373,West Lancashire,E14001033,Rosie Cooper MP,4837,97626,0.049546227,
374,Mid Worcestershire,E14000818,Nigel Huddleston MP,5034,101762,0.049468367,
375,Mid Norfolk,E14000816,George Freeman MP,5225,105925,0.049327354,
376,Blaydon,E14000574,Liz Twist MP,4354,88273,0.049324255,
377,Glasgow South West,S14000035,Chris Stephens MP,4295,87240,0.049232004,
378,Old Bexley and Sidcup,E14000869,Rt Hon James Brokenshire MP,4399,89400,0.049205817,
379,Witham,E14001045,Rt Hon Priti Patel MP,4503,91545,0.049188923,
380,Ellesmere Port and Neston,E14000688,Justin Madders MP,4280,87285,0.049034771,
381,Ilford North,E14000759,Wes Streeting MP,5369,109618,0.048979182,
382,Fylde,E14000706,Mark Menzies MP,4141,84814,0.048824487,
383,Richmond (Yorks),E14000895,Rishi Sunak MP,5306,109492,0.048460161,
384,North Swindon,E14000851,Justin Tomlinson MP,5435,112237,0.048424316,
385,South Ribble,E14000943,Seema Kennedy MP,4810,99596,0.048295112,
386,Ribble Valley,E14000894,Mr Nigel Evans MP,4782,99620,0.048002409,
387,Dumfries and Galloway,S14000013,Mr Alister Jack MP,4597,95837,0.04796686,
388,Coventry South,E14000651,Mr Jim Cunningham MP,5859,122998,0.047634921,
389,Kilmarnock and Loudoun,S14000040,Alan Brown MP,4615,96896,0.047628385,
390,Delyn,W07000042,Rt Hon David Hanson MP,3322,69801,0.047592441,
391,Enfield North,E14000691,Rt Hon Joan Ryan MP,5216,109930,0.047448376,
392,Bury North,E14000611,James Frith MP,4248,89662,0.04737793,
393,Grantham and Stamford,E14000714,Nick Boles MP,5262,111163,0.047335894,
394,Leicester South,E14000783,Jonathan Ashworth MP,6008,127672,0.047058086,
395,Haltemprice and Howden,E14000724,Rt Hon David Davis MP,4212,89510,0.047056195,
396,Moray,S14000046,Douglas Ross MP,4479,95780,0.046763416,
397,Birkenhead,E14000559,Rt Hon Frank Field MP,4208,90087,0.046710402,
398,Leeds Central,E14000777,Rt Hon Hilary Benn MP,7131,152847,0.046654498,
399,Stafford,E14000965,Jeremy Lefroy MP,4565,97986,0.046588288,
400,Carmarthen West and South Pembrokeshire,W07000066,Simon Hart MP,3604,77544,0.046476839,
401,Yeovil,E14001060,Mr Marcus Fysh MP,5161,111055,0.046472469,
402,Chorley,E14000637,Rt Hon Sir Lindsay Hoyle MP,4756,102715,0.046302877,
403,Bridgend,W07000073,Mrs Madeleine Moon MP,3879,83796,0.046290992,
404,South Leicestershire,E14000940,Alberto Costa MP,4857,105253,0.046145953,
405,Dover,E14000670,Charlie Elphicke MP,4678,101535,0.046072783,
406,Gateshead,E14000709,Ian Mearns MP,4451,97101,0.045838869,
407,St Austell and Newquay,E14000961,Steve Double MP,4865,106443,0.045705213,
408,Meriden,E14000812,Rt Hon Dame Caroline Spelman MP,5089,111675,0.045569734,
